"","ego","alter","alter_type","q1.years.known.eiq","q2.years.worked.with.eiq","q3a.wk.relationship.eiq","q3b.wk.relationship.other.eiq","q4a.work.interaction.freq.eiq","q4b.personal.interaction.freq.eiq","q5a.likely.discuss.env.issues.eiq","q5b.likely.discuss.env.issues.exp.eiq","q6a.likely.discuss.econ.issues.eiq","q6b.likely.discuss.econ.issues.exp.eiq","q7a.likely.discuss.comm.issues.eiq","q7b.likely.discuss.comm.issues.exp.eiq","q8a.likely.discuss.gvmtresources.issues.eiq","q8b.likely.discuss.gvmtresources.issues.exp.eiq","q9a.likely.discuss.fedagency.issues.eiq","q9b.likely.discuss.fedagency.issues.exp.eiq","q10.difficulty.selling.catch.eiq","q11.indiv.contact.agency.eiq","q12a.related.indiv.eiq","q12b.related.descriptor.eiq","q12c.related.descriptor.other.eiq","q13.positive.wk.relationship.eiq","q14.wk.relationship.quality.eiq","q15.sust.industry.contribution.eiq","q16.trust.level.eiq","q17.willingness.to.wk.with.eiq"
"1","Adams, Dior","Cheung, Kiana","Out-Network",9,4,"Other (please specify)","Professional relationship explanation","A few times per week","Weekly",8,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Other (please specify)","Explain","Strongly disagree",9,"Strongly agree",5,1
"2","Adams, Dior","Gibbs, Jayde","Shared-Profession",19,5,"Colleague","N/A","A few times per week","Less than once per month",3,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","No","Yes","Parent","N/A","Agree",2,"Strongly disagree",6,1
"3","Adams, Dior","Garcia, Marco","Shared-Profession",12,10,"Colleague","N/A","Daily","Bi-weekly (every other week)",8,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Other (please specify)","Explain","Neither agree nor disagree",8,"Neither agree nor disagree",6,4
"4","Adams, Dior","Jackson, Abenezer","Shared-Profession",19,16,"Colleague","N/A","A few times per week","Less than once per month",10,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Parent","N/A","Neither agree nor disagree",8,"Strongly disagree",2,1
"5","Trujillo, Eiricka","Shackelford, Matthew","In-Network",4,3,"Employer","N/A","A few times per month","Bi-weekly (every other week)",7,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Disagree",2,"Strongly disagree",8,5
"6","Trujillo, Eiricka","Boyd, Craig","In-Network",10,6,"Employee","N/A","Daily","A few times per week",4,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly disagree",2,"Disagree",7,4
"7","Trujillo, Eiricka","Ayon, Emma","Shared-Profession",15,4,"Colleague","N/A","Less than once per month","Weekly",6,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Strongly agree",9,"Strongly agree",8,7
"8","Trujillo, Eiricka","Adam, Mariah","Shared-Profession",30,8,"Colleague","N/A","Bi-weekly (every other week)","Monthly",2,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",7,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Disagree",7,"Disagree",4,6
"9","Trujillo, Eiricka","Lee, Brittany","Shared-Profession",18,6,"Colleague","N/A","A few times per week","Daily",3,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Disagree",8,"Strongly agree",2,3
"10","Trujillo, Eiricka","Smith, Xavion","Shared-Profession",2,0,"Colleague","N/A","Less than once per month","A few times per month",4,"Explain why (not) discuss environmental issues",9,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Disagree",10,"Neither agree nor disagree",3,1
"11","Trujillo, Eiricka","Hajek, J","Shared-Profession",1,1,"Colleague","N/A","Bi-weekly (every other week)","Less than once per month",3,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",3,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Disagree",3,"Strongly disagree",3,3
"12","Trujillo, Eiricka","Kindsfather, Zachariah","Shared-Profession",17,14,"Colleague","N/A","A few times per month","A few times per month",7,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",7,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Strongly disagree",0,"Strongly disagree",3,8
"13","Dietz, Justin","O'Donnell, Tyler","Shared-Profession",29,11,"Colleague","N/A","A few times per month","Less than once per month",0,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly disagree",5,"Strongly agree",6,7
"14","Dietz, Justin","Ulibarri, Luisa","Shared-Profession",29,5,"Colleague","N/A","Daily","A few times per week",6,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",7,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Cousin","N/A","Agree",9,"Strongly disagree",6,1
"15","Knight, Atienne","Sibley, Catalina","In-Network",1,1,"Employee","N/A","A few times per month","Monthly",2,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Strongly agree",10,"Agree",1,7
"16","Knight, Atienne","Kyger, Casey","In-Network",9,1,"Other (please specify)","Professional relationship explanation","A few times per week","Less than once per month",1,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Other (please specify)","Explain","Strongly agree",3,"Strongly disagree",5,4
"17","Knight, Atienne","Nixon, Tessa","In-Network",22,13,"Employer","N/A","Bi-weekly (every other week)","Less than once per month",2,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","No","No","Yes","Cousin","N/A","Strongly agree",4,"Strongly agree",10,8
"18","Knight, Atienne","Dietz, Justin","Shared-Profession",6,0,"Colleague","N/A","Weekly","A few times per week",2,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","No","No","Yes","Child","N/A","Strongly agree",9,"Disagree",2,2
"19","Knight, Atienne","Heiser, Susan","Shared-Profession",16,11,"Colleague","N/A","Daily","Weekly",10,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",7,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Disagree",7,"Agree",5,6
"20","Knight, Atienne","Marshall, Lauren","Shared-Profession",24,20,"Colleague","N/A","Monthly","Daily",7,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",0,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","No","Yes","Other (please specify)","Explain","Agree",6,"Strongly agree",9,3
"21","Knight, Atienne","Abukar, Janika","Shared-Profession",16,7,"Colleague","N/A","Bi-weekly (every other week)","Daily",3,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",7,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",7,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly disagree",6,"Strongly agree",2,2
"22","Knight, Atienne","Martinez, Cory","Shared-Profession",1,0,"Colleague","N/A","Less than once per month","Bi-weekly (every other week)",3,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",3,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly agree",7,"Neither agree nor disagree",6,8
"23","Knight, Atienne","Fuller, Nicole","Shared-Profession",16,13,"Colleague","N/A","Daily","Less than once per month",6,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Child","N/A","Strongly agree",3,"Strongly disagree",1,2
"24","Knight, Atienne","Delants, Thomas","Shared-Profession",12,4,"Colleague","N/A","Weekly","A few times per week",7,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Agree",6,"Strongly disagree",3,4
"25","Rascon, Nanci","Chen, Selina","Out-Network",11,3,"Other (please specify)","Professional relationship explanation","A few times per week","Daily",6,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",3,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Strongly disagree",2,"Agree",2,2
"26","Rascon, Nanci","Patterson, Courtney","Out-Network",3,3,"Employer","N/A","A few times per week","Monthly",9,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly agree",6,"Disagree",0,3
"27","Rascon, Nanci","Morales, Jose","Shared-Profession",27,13,"Colleague","N/A","Less than once per month","A few times per week",5,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","No","No","Yes","Parent","N/A","Strongly agree",6,"Strongly disagree",4,7
"28","Rascon, Nanci","Morales, David","Shared-Profession",12,1,"Colleague","N/A","Bi-weekly (every other week)","Less than once per month",5,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",0,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","No","No","Yes","Child","N/A","Strongly disagree",3,"Strongly disagree",9,6
"29","Rascon, Nanci","Villarruel, Daniela","Shared-Profession",20,18,"Colleague","N/A","Weekly","Weekly",2,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",2,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Neither agree nor disagree",2,"Neither agree nor disagree",9,7
"30","Rascon, Nanci","Sheets, Chanon","Shared-Profession",29,9,"Colleague","N/A","A few times per month","Weekly",0,"Explain why (not) discuss environmental issues",7,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Cousin","N/A","Agree",1,"Strongly disagree",3,8
"31","Rascon, Nanci","Silas, Tavion","Shared-Profession",17,13,"Colleague","N/A","Bi-weekly (every other week)","A few times per month",2,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Parent","N/A","Strongly agree",7,"Disagree",0,0
"32","Rascon, Nanci","Jones, Devin","Shared-Profession",22,21,"Colleague","N/A","A few times per month","Weekly",0,"Explain why (not) discuss environmental issues",10,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",1,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Strongly disagree",2,"Agree",7,10
"33","Mangino, Erfan","Marynowski, Xavier","Out-Network",15,7,"Employee","N/A","Bi-weekly (every other week)","Less than once per month",1,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",7,"Explain why (not) discuss communication issues",5,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Neither agree nor disagree",1,"Strongly disagree",2,0
"34","Mangino, Erfan","Gregory, Eliza","Shared-Profession",6,3,"Colleague","N/A","Less than once per month","Weekly",1,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",9,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Cousin","N/A","Strongly disagree",4,"Disagree",2,4
"35","Mangino, Erfan","Hughes, Kebrina","Shared-Profession",10,3,"Colleague","N/A","Monthly","Bi-weekly (every other week)",1,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",3,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","No","No","Yes","Parent","N/A","Strongly disagree",9,"Agree",7,7
"36","Mangino, Erfan","Shields, Xavior","Shared-Profession",9,5,"Colleague","N/A","Monthly","Monthly",5,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",7,"Explain why (not) discuss communication issues",8,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Child","N/A","Disagree",1,"Neither agree nor disagree",6,10
"37","Mangino, Erfan","Gallegos, Brandon","Shared-Profession",12,10,"Colleague","N/A","Bi-weekly (every other week)","A few times per month",6,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Strongly disagree",5,"Disagree",3,2
"38","Mangino, Erfan","Zink, Samantha","Shared-Profession",30,20,"Colleague","N/A","Weekly","A few times per week",3,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Child","N/A","Strongly disagree",3,"Disagree",7,1
"39","Martinez, Luis","Knight, Atienne","Shared-Profession",25,21,"Colleague","N/A","Bi-weekly (every other week)","Bi-weekly (every other week)",4,"Explain why (not) discuss environmental issues",4,"Explain why (not) discuss economic issues",1,"Explain why (not) discuss communication issues",6,"Explain why (not) discuss government resource availability issues",10,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Cousin","N/A","Strongly agree",0,"Strongly agree",1,6
"40","Martinez, Luis","Mendoza, Linda","Shared-Profession",7,2,"Colleague","N/A","Weekly","A few times per week",4,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Disagree",8,"Neither agree nor disagree",0,9
"41","Bergenthal, Kendall","Burgos, William","Shared-Profession",12,6,"Colleague","N/A","Daily","Monthly",6,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",2,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",0,"Explain why (not) discuss federal agency issues","No","Yes","Yes","Cousin","N/A","Agree",9,"Strongly agree",3,8
"42","Bergenthal, Kendall","Sturgeon, Kevin","Shared-Profession",19,12,"Colleague","N/A","Daily","Daily",10,"Explain why (not) discuss environmental issues",1,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",6,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Parent","N/A","Strongly disagree",1,"Agree",1,2
"43","Sturgeon, Kevin","Kalscheur, Madalyn","Shared-Profession",11,11,"Colleague","N/A","Bi-weekly (every other week)","A few times per month",3,"Explain why (not) discuss environmental issues",2,"Explain why (not) discuss economic issues",4,"Explain why (not) discuss communication issues",4,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","Yes","No","No","N/A","N/A","Strongly disagree",6,"Strongly disagree",8,9
"44","Sturgeon, Kevin","Martinez, Marco","Shared-Profession",8,0,"Colleague","N/A","Weekly","Daily",5,"Explain why (not) discuss environmental issues",0,"Explain why (not) discuss economic issues",6,"Explain why (not) discuss communication issues",3,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","No","Yes","Other (please specify)","Explain","Neither agree nor disagree",4,"Strongly agree",9,4
"45","Sturgeon, Kevin","Johnson, Sha'Celeste","Shared-Profession",3,1,"Colleague","N/A","Less than once per month","A few times per week",4,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",8,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",8,"Explain why (not) discuss federal agency issues","Yes","Yes","No","N/A","N/A","Agree",5,"Disagree",3,10
"46","Sturgeon, Kevin","Silas, Tavion","Shared-Profession",6,1,"Colleague","N/A","Daily","A few times per month",4,"Explain why (not) discuss environmental issues",8,"Explain why (not) discuss economic issues",3,"Explain why (not) discuss communication issues",10,"Explain why (not) discuss government resource availability issues",5,"Explain why (not) discuss federal agency issues","Yes","Yes","Yes","Spouse or partner","N/A","Strongly disagree",7,"Neither agree nor disagree",5,8
"47","Chacon, Julissa","Till, David","In-Network",17,5,"Employer","N/A","Less than once per month","Weekly",5,"Explain why (not) discuss environmental issues",5,"Explain why (not) discuss economic issues",5,"Explain why (not) discuss communication issues",9,"Explain why (not) discuss government resource availability issues",3,"Explain why (not) discuss federal agency issues","No","No","No","N/A","N/A","Neither agree nor disagree",0,"Neither agree nor disagree",8,9
"48","Chacon, Julissa","Mcconnaughhay, Robert","Out-Network",3,1,"Employee","N/A","Less than once per month","A few times per week",2,"Explain why (not) discuss environmental issues",6,"Explain why (not) discuss economic issues",10,"Explain why (not) discuss communication issues",2,"Explain why (not) discuss government resource availability issues",1,"Explain why (not) discuss federal agency issues","Yes","No","Yes","Spouse or partner","N/A","Agree",3,"Strongly disagree",4,3
"49","Chacon, Julissa","Zink, Samantha","Shared-Profession",17,13,"Colleague","N/A","A few times per week","Weekly",4,"Explain why (not) discuss environmental issues",3,"Explain why (not) discuss economic issues",9,"Explain why (not) discuss communication issues",7,"Explain why (not) discuss government resource availability issues",4,"Explain why (not) discuss federal agency issues","No","Yes","No","N/A","N/A","Strongly disagree",2,"Strongly agree",10,4
