"","Closeness.bool","Betweenness.bool","Degree.bool","Eigenvector.bool","Overlap.bool","Keyplay.bool","ego","q1.profession.df.vq","q2a.currently.working.vq","q2b.how.long.work.vq","q2c.when.leave.work.vq","q3.rate.econ.conditions.vq","q4.rate.env.conditions.vq","q5.rate.comm.agencies.vq","q6a.attended.GADNR.mtg.vq","q6b.GADNR.mtg.topic.vq","q6c.GADNR.why.not.mtg.vq","q7a.primary.dock.vq","q7b.active.dock.relationship.vq","q7c.time.worked.w.dock.vq","q7d.ended.dock.relationship.vq","q8a.observed.decline.harvest.vq","q8b.harvest.decline.location.vq","q8c.still.fish.decline.locations.vq","q9a.harvest.multiple.sp.vq","q9b.sell.to.single.dock.vq","q9c.earned.per.species.vq","q9d.why.sell.multiple.docks.vq","q10.docks.difficulty.selling.vq","q11a.change.docks.vq","q11b.change.docks.explain.vq","q11c.change.docks.freq.vq","q12a.decline.in.catch.vq","q12b.explain.decline.vq","q12c.which.spp.decline.vq","q12d.severity.decline.vq","q13a.decline.affect.business.vq","q13b.severity.decline.business.vq","q14.agency.mtg.attend.vq","q15.folks.contact.gvmt.vq","q15b.name.folks.contact.gvmt.vq","q15c.name.agencies.contacted.vq","q15d.reasons.agency.contact.vq","q16a.attendance.mtg.beneficial.vq","q16b.attendance.mtg.expl.vq","q17.agencies.helpful.vq","q18.agencies.not.helpful.vq","q19.probs.agencies.could.solve.vq","q20a.should.orgs.do.more.vq","q20b.how.should.orgs.help.vq","q21.reg.change.open.water.May15.vq","q22.reg.change.close.water.Dec31.vq","q23.reg.change.open.sounds.vq","q24.blackgill.change.fishing.vq","q25a.blackgill.concern.dockmates.vq","q25b.blackgill.concern.dockmates.strength.vq","q26a.seen.blackgill.vq","q26b.where.seen.blackgill.vq"
"1",0,0,0,1,0,1,"Adams, Dior","Commercial fisherman","No","N/A","Open Response","Very Poor","Slightly pressing","Fair","No","N/A","Open Response","St. Simons Dock","Yes","25","N/A","No","N/A","N/A","Yes","No","N/A","Open response","Yes","No","Open response","Very often (change dock 1 or more times/month)","No","N/A","N/A","N/A","No","N/A","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Other (please insert)","Georgia Department of Natural Resources","Problems agencies could help solve","No","N/A","Very likely","Very unlikely","Unlikely","Significantly","Yes","Not very strong","Yes","Between St. Simons Island and Jekyll Island"
"2",0,0,0,0,0,0,"Trujillo, Eiricka","Commercial fisherman","Yes","33","N/A","Poor","Very pressing","Poor","No","N/A","Open Response","Derrien Dock","Yes","9","N/A","No","N/A","N/A","No","N/A","N/A","N/A","Yes","No","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","Yes","Not severe","Other (please insert)","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","No","N/A","Other (please insert)","Southern Shrimp Alliance","Problems agencies could help solve","No","N/A","Unlikely","Unlikely","Likely","Neither significant or insignificant","Yes","Somewhat strong","No","N/A"
"3",0,0,0,0,0,0,"Dietz, Justin","Commercial crabbers or dealer","Yes","29","N/A","Fair","Very pressing","Fair","Yes","Open Response","N/A","St. Simons Dock","No","N/A","3","Yes","Between St. Simons Island and Jekyll Island","Yes","Yes","No","N/A","Open response","Yes","No","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Other (please insert)","Problems agencies could help solve","No","N/A","Very likely","Very likely","Neither likely nor unlikely","Very significantly","No","N/A","Yes","Between St. Simons Island and Sapelo Island"
"4",0,0,0,0,0,0,"Knight, Atienne","Commercial crabbers or dealer","Yes","16","N/A","Poor","Very pressing","Very good","Yes","Open Response","N/A","Piedmont Dock","No","N/A","19","No","N/A","N/A","No","N/A","N/A","N/A","No","Yes","Open response","Rarely (change dock 1 time per 9 months","No","N/A","N/A","N/A","Yes","Severe","Georgia Department of Natural Resources","No","N/A","N/A","Reasons for contacting agency","No","N/A","Georgia Sea Grant","Georgia Shrimping Association (Wild Georgia Shrimp)","Problems agencies could help solve","No","N/A","Very likely","Likely","Neither likely nor unlikely","Neither significant or insignificant","No","N/A","Yes","North of Savannah"
"5",0,0,0,0,0,0,"Rascon, Nanci","Dock and fish house","No","N/A","Open Response","Very Poor","Not pressing","Fair","Yes","Open Response","N/A","Piedmont Dock","No","N/A","5","Yes","Between Sapelo Island and Savannah","Yes","No","N/A","N/A","N/A","Yes","No","Open response","Rarely (change dock 1 time per 9 months","Yes","Harvest decline explanation","Declining species","Neither","No","N/A","Southern Shrimp Alliance","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","No","N/A","Georgia Department of Natural Resources","Other (please insert)","Problems agencies could help solve","No","N/A","Very likely","Unlikely","Very likely","Insignificantly","No","N/A","Yes","South of Jekyll Island"
"6",0,0,0,0,0,0,"Mangino, Erfan","Commercial fisherman","Yes","14","N/A","Poor","Slightly pressing","Very good","Yes","Open Response","N/A","Savannah Dock","Yes","22","N/A","Yes","Between St. Simons Island and Sapelo Island","No","No","N/A","N/A","N/A","No","Yes","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","Yes","Very severe","Georgia Sea Grant","No","N/A","N/A","Reasons for contacting agency","No","N/A","Other (please insert)","Georgia Sea Grant","Problems agencies could help solve","Yes","Help suggestions","Likely","Neither likely nor unlikely","Very likely","Very significantly","Yes","Very strong","Yes","Between St. Simons Island and Jekyll Island"
"7",0,0,0,0,0,0,"Solomon, Mila","Shellfish gatherer","Yes","4","N/A","Very good","Slightly pressing","Fair","Yes","Open Response","N/A","St. Simons Dock","Yes","5","N/A","Yes","North of Savannah","Yes","Yes","No","N/A","Open response","Yes","Yes","Open response","Very rarely (change dock less than 1 time/year","No","N/A","N/A","N/A","No","N/A","Other (please insert)","Yes","Name of dock/fisher","Other (please insert)","Reasons for contacting agency","No","N/A","Southern Shrimp Alliance","Southern Shrimp Alliance","Problems agencies could help solve","Yes","Help suggestions","Very unlikely","Very unlikely","Very unlikely","Very insignificantly","Yes","Not very strong","No","N/A"
"8",0,0,0,0,0,0,"Martinez, Luis","Commercial crabbers or dealer","No","N/A","Open Response","Poor","Very pressing","Very good","No","N/A","Open Response","St. Simons Dock","Yes","23","N/A","No","N/A","N/A","No","N/A","N/A","N/A","Yes","Yes","Open response","Very often (change dock 1 or more times/month)","No","N/A","N/A","N/A","No","N/A","Other (please insert)","No","N/A","N/A","Reasons for contacting agency","Yes","Benefit from attendance explained","Georgia Department of Natural Resources","Other (please insert)","Problems agencies could help solve","No","N/A","Unlikely","Very likely","Unlikely","Significantly","Yes","Somewhat strong","Yes","Between St. Simons Island and Sapelo Island"
"9",0,0,0,0,0,0,"Bergenthal, Kendall","Dock and fish house","Yes","7","N/A","Good","Pressing","Good","No","N/A","Open Response","Jekyll Dock","No","N/A","4","No","N/A","N/A","No","N/A","N/A","N/A","No","Yes","Open response","Occasionally (change dock about 1 time/6 months","Yes","Harvest decline explanation","Declining species","Very not severe","No","N/A","Southern Shrimp Alliance","No","N/A","N/A","Reasons for contacting agency","No","N/A","Other (please insert)","Other (please insert)","Problems agencies could help solve","Yes","Help suggestions","Very unlikely","Very unlikely","Neither likely nor unlikely","Insignificantly","Yes","Very strong","No","N/A"
"10",0,0,0,0,0,0,"Sturgeon, Kevin","Dock and fish house","Yes","6","N/A","Fair","Moderately pressing","Very good","Yes","Open Response","N/A","St. Simons Dock","No","N/A","21","No","N/A","N/A","No","N/A","N/A","N/A","No","No","Open response","Very often (change dock 1 or more times/month)","Yes","Harvest decline explanation","Declining species","Neither","No","N/A","Other (please insert)","Yes","Name of dock/fisher","Georgia Sea Grant","Reasons for contacting agency","No","N/A","Georgia Shrimping Association (Wild Georgia Shrimp)","Georgia Sea Grant","Problems agencies could help solve","No","N/A","Unlikely","Very likely","Very likely","Very significantly","Yes","Not very strong","Yes","South of Jekyll Island"
